hipparcos_id,ra_deg,dec_deg,mag,hp_mag
1,0.00091185,1.08901332,9.1,9.2043
2,0.00379738,-19.49883738,9.27,9.4017
3,0.00500794,38.85928608,6.61,6.6081
4,0.00838188,-51.89354611,8.06,8.1498
5,0.00996502,-40.59122445,8.55,8.7077
6,0.01814086,3.94648811,12.31,12.4488
7,0.02254892,20.03660198,9.64,9.6795
8,0.02729175,25.8864746,9.05,8.5522
9,0.03534194,36.58593769,8.59,8.7534
10,0.03625296,-50.86707363,8.59,8.6994
11,0.03729667,46.94000168,7.34,7.3777
12,0.0409171,-35.96022486,8.43,8.5598
13,0.04167955,-22.5946807,8.8,8.9707
14,0.04827227,-0.36042124,7.25,7.4195
15,0.05030895,50.79117364,8.6,8.7669
16,0.0514082,-54.91412791,11.71,11.8279
17,0.05109973,-40.1923284,8.15,8.2405
18,0.05313977,-4.05373774,11.03,11.0625
19,0.0533169,38.30408633,6.53,6.689
20,0.06295067,23.52928427,8.51,8.6208
21,0.06623581,8.0072343,7.55,7.6923
22,0.0701356,-49.35226674,8.69,8.8563
23,0.07442973,13.31221097,7.57,7.6626
24,0.07604978,-23.45274895,9.05,9.1657
25,0.07936602,-44.2902973,6.28,6.4211
26,0.08434569,-13.39329701,9.13,9.2438
27,0.0854697,-41.29753703,9.32,9.4598
28,0.08724907,-43.36179957,8.83,8.9385
29,0.09213091,-49.10795504,9.14,9.3109
30,0.09613579,42.14149904,8.26,8.3069
31,0.09809386,2.67547771,7.63,7.7648
32,0.0985835,51.93949039,9.09,9.1042
33,0.09918059,-10.46245437,8.1,8.2076
34,0.09946987,26.9182382,6.43,6.5466
35,0.10256035,-14.49048082,9.07,9.2353
36,0.10327569,12.26709311,7.68,7.8503
37,0.10535182,-47.17958398,10.44,10.5345
38,0.11104675,-79.06183132,8.65,8.7854
39,0.11186159,-16.69693029,7.46,7.5669
40,0.12196734,67.21679288,10.61,10.336
41,0.11656332,54.30223767,8.7,8.7201
42,0.12538683,25.84478043,8.2,8.291
43,0.12908906,59.55973786,6.18,6.3456
44,0.13272256,-3.30636198,7.91,8.0825
45,0.13420449,-72.20271049,9.59,9.7391
46,0.13454438,-25.62225296,8.57,8.735
47,0.13519194,-56.8352479,10.78,10.8416
48,0.13522244,-40.69044667,7.31,7.4752
49,0.13950054,16.66903174,9.53,9.6309
50,0.14287042,-53.09766266,6.49,6.6231
51,0.14339161,1.06619771,8.94,9.1049
52,0.14665841,-77.02014072,8.56,8.6228
53,0.14738951,-29.26338267,10.96,11.1006
54,0.15165521,17.96895565,10.57,10.6972
55,0.15783359,-66.68310342,7.4,7.5159
56,0.16283199,0.22293901,8.12,8.2798
57,0.16828521,-69.67580052,8.27,8.4078
58,0.1737634,62.17600478,7.05,7.1625
59,0.17444771,55.72246266,9.09,9.1257
60,0.17542337,-64.46582509,8.34,8.4336
61,0.17615727,53.82218618,8.86,9.0314
62,0.17996161,-45.42272674,8.27,8.4354
63,0.18174967,45.253333,6.36,6.3484
64,0.18458842,-27.90754614,8.08,8.2463
65,0.1879752,-54.83034067,11.0,11.1288
66,0.18854843,-72.3182493,8.55,8.6404
67,0.19910112,23.53824879,7.83,7.9346
68,0.20063619,16.98896452,8.79,8.9324
69,0.20137182,30.39589287,8.33,8.3785
70,0.20280422,36.77763521,10.42,10.587
71,0.20709876,36.78015289,8.26,8.4174
72,0.21946967,-12.82867036,8.97,9.1074
73,0.22045757,66.8479668,6.9,7.0364
74,0.22187285,35.75272203,9.93,10.0824
75,0.22316183,-50.44646501,7.42,7.5402
76,0.22821972,32.82567444,9.03,9.0913
77,0.23052139,-30.06417338,8.41,8.4315
78,0.23231254,17.86784161,8.06,8.2267
79,0.23572302,35.31675383,8.69,8.8073
80,0.2417926,-11.82353722,8.4,8.5253
81,0.24386383,-4.93211474,8.57,8.7088
82,0.24803154,-10.93580533,9.5,9.6307
83,0.24808099,52.08056419,8.85,8.9461
84,0.25180707,27.88634408,9.61,9.7503
85,0.25600736,-24.7140488,10.62,10.6983
86,0.26038257,69.60349835,8.05,8.0655
87,0.26151521,-5.83497566,7.8,7.9001
88,0.26915945,-48.80985914,5.71,5.869
89,0.277152,53.16694228,7.87,7.985
90,0.27999982,-41.88742966,7.64,7.7519
91,0.28056826,-5.87433286,7.66,7.8145
92,0.29062551,-20.70558656,8.68,8.8386
93,0.29222272,-0.07592028,8.12,8.2479
94,0.29485325,-32.75680558,10.1,10.2385
95,0.30203913,-11.96400033,8.67,8.7811
96,0.30489044,13.97474772,10.46,10.6082
97,0.30733353,-21.40404519,9.48,9.5922
98,0.30717812,-52.79857939,9.87,9.989
99,0.31601649,60.35529784,7.04,6.9749
100,0.3164515,19.74131642,8.44,8.6023
101,0.31976217,-47.79382997,9.88,9.9922
102,0.32043181,-41.4873558,7.05,7.1563
103,0.32214405,-68.37102957,8.29,8.4078
104,0.32673649,-31.89961662,9.34,9.4615
105,0.32784406,70.92895776,7.73,7.8284
106,0.33016475,49.98158502,6.22,6.3864
107,0.33380178,-50.33739916,5.53,5.6243
108,0.33655433,-70.12530742,8.53,8.6842
109,0.34660183,6.79149105,7.23,7.3153
110,0.34870771,39.61081792,8.61,8.7231
111,0.34908706,34.28185976,11.28,11.4075
112,0.35691666,-16.94782658,10.76,10.8532
113,0.36562069,49.01041103,8.93,8.9466
114,0.37167619,30.73587915,7.95,8.06
115,0.3725964,-62.92315771,7.46,7.5117
116,0.37539356,-33.79270443,8.6,8.6976
117,0.38040789,-72.6059036,8.55,8.7178
118,0.38648582,-9.43003594,9.2,9.3268
119,0.39020244,44.67544597,6.82,6.9834
120,0.39598868,-45.34468886,8.29,8.4576
121,0.39647666,28.4237744,6.83,6.9957
122,0.39937881,-77.06529443,4.78,4.9354
123,0.40024163,72.23660635,7.21,7.379
124,0.40424529,61.2228039,5.58,5.6725
125,0.40473201,-39.33667979,8.7,8.7833
126,0.40873325,14.63230678,8.06,8.225
127,0.41208733,-48.9351609,10.86,11.0007
128,0.41376507,73.61187653,6.5,6.5638
129,0.41560209,5.37275067,9.32,9.446
130,0.41825263,-30.692507,9.14,9.2966
131,0.41994224,62.01815069,8.13,8.1954
132,0.42200521,-34.6535077,10.62,10.7028
133,0.42336875,-40.14866591,6.62,6.7434
134,0.42514063,-1.13997214,9.96,10.03
135,0.42674601,-0.21749939,8.64,8.7706
136,0.42864222,24.25318096,6.6,6.7635
137,0.43268934,42.3671483,6.25,6.2437
138,0.43720405,-16.53172124,7.83,8.0006
139,0.44529191,67.50697637,10.03,10.1512
140,0.4526742,-68.10481117,9.04,9.1634
141,0.45342952,36.35034545,8.47,8.6143
142,0.45374905,66.30600226,7.33,7.4726
143,0.45518189,21.46213748,10.35,10.4567
144,0.45508998,76.17561125,8.66,8.8026
145,0.45598909,-3.02747915,5.13,5.0831
146,0.45619187,-25.79769517,8.96,9.0492
147,0.46604353,21.02624868,8.49,8.6115
148,0.47879296,15.52852845,8.15,8.2766
149,0.47868476,26.00557727,11.26,11.3715
150,0.48036527,-37.22984387,7.04,7.211
151,0.48458256,-41.61373673,7.78,7.8718
152,0.48445284,-28.13095548,10.02,10.1237
153,0.48454514,12.65495314,8.9,9.0038
154,0.48996493,-6.01397145,4.37,4.412
155,0.49113876,46.2691629,9.93,10.0092
156,0.4968848,63.35784574,8.6,8.6265
157,0.50032725,-5.21399713,8.51,8.6681
158,0.50047149,-37.90179029,7.09,7.2519
159,0.51081121,-2.76616337,6.93,7.009
160,0.51171483,-69.26920716,8.68,8.6699
161,0.51248022,33.6959904,8.98,9.1048
162,0.51336756,27.11861959,9.84,9.9701
163,0.51714277,-30.68523477,8.98,9.0205
164,0.51857843,59.94001202,7.98,8.14
165,0.51974507,-22.32747042,10.16,10.2635
166,0.52152655,-56.51490167,8.86,8.997
167,0.52780725,39.1832135,8.58,8.6055
168,0.53352211,-2.81984558,9.56,9.7303
169,0.53502147,-68.28020623,9.24,9.3369
170,0.53767763,-20.87164218,9.63,9.7406
171,0.54018854,27.08448917,5.8,5.8735
172,0.54288095,67.40895635,9.05,9.2041
173,0.54959938,47.57722223,8.45,8.5172
174,0.55156666,59.96533825,8.86,9.0247
175,0.55243597,49.77113898,7.84,7.9969
176,0.55333448,44.42827744,8.86,8.9785
177,0.56020422,-11.96434736,8.93,8.9846
178,0.56779596,-27.13517299,7.97,8.0951
179,0.56886216,-13.40751571,6.9,7.0259
180,0.57090236,-9.17489489,8.47,8.6374
181,0.57381664,60.70319449,6.77,6.796
182,0.58116835,52.58643707,8.55,8.7103
183,0.58297533,-29.72044838,5.04,4.9895
184,0.58977573,11.00634092,8.48,8.62
185,0.59015022,10.78564395,8.53,8.6444
186,0.60069765,8.95683357,6.33,6.3912
187,0.60211392,-6.05918192,8.99,9.0992
188,0.60250408,6.33313671,8.64,8.7493
189,0.60528709,54.13515732,9.55,9.6208
190,0.60555599,10.77665181,8.74,8.8555
191,0.61228757,-46.02884117,12.43,12.6969
192,0.61983124,8.39393025,8.16,8.3264
193,0.62164019,-39.21249916,9.46,9.6224
194,0.62398923,8.4855784,5.7,5.7806
195,0.62573718,47.42295965,7.62,7.7337
